number,temperature,pressure,acceleration
0,23.3125,1010.48,"[9.53206, -0.11768, -0.196133]"
1,23.8125,1010.23,"[9.64974, -0.313813, 0.0392266]"
2,23.3125,1010.48,"[9.57129, -0.156906, -0.313813]"
3,23.8125,1010.23,"[9.68897, -0.431492, -0.0784532]"
4,23.3125,1010.48,"[9.57129, 0.0, -0.23536]"
5,23.8125,1010.23,"[9.76742, -0.470719, -0.23536]"
6,23.8125,1010.24,"[9.7282, -0.431492, 0.11768]"
7,23.3125,1010.49,"[9.45361, -0.11768, -0.11768]"
8,23.8125,1010.24,"[9.76742, -0.431492, -0.0392266]"
9,23.3125,1010.49,"[9.45361, -0.0784532, -0.274586]"
10,23.75,1010.24,"[9.76742, -0.470719, -0.0392266]"
11,23.3125,1010.49,"[9.53206, -0.11768, -0.196133]"
12,23.8125,1010.25,"[9.84587, -0.431492, -0.0784532]"
13,23.3125,1010.49,"[9.49284, -0.11768, -0.11768]"
14,23.8125,1010.25,"[9.84587, -0.431492, -0.0784532]"
15,23.3125,1010.49,"[9.53206, -0.0784532, -0.313813]"
16,23.75,1010.25,"[9.80664, -0.470719, -0.11768]"
17,23.3125,1010.5,"[9.49284, -0.0392266, -0.23536]"
18,23.8125,1010.25,"[9.84587, -0.392266, -0.0392266]"
19,23.3125,1010.49,"[9.57129, -0.11768, -0.23536]"
20,23.8125,1010.25,"[9.64974, -0.588399, -0.11768]"
21,23.3125,1010.49,"[9.45361, -0.11768, -0.313813]"
22,23.3125,1010.49,"[9.49284, -0.0784532, -0.313813]"
23,23.8125,1010.25,"[9.7282, -0.470719, -0.0784532]"
24,23.8125,1010.25,"[9.76742, -0.470719, -0.11768]"
25,23.375,1010.49,"[9.53206, -0.11768, -0.196133]"
26,23.8125,1010.24,"[9.68897, -0.509946, -0.11768]"
27,23.375,1010.49,"[9.53206, -0.11768, -0.11768]"
28,23.875,1010.25,"[9.7282, -0.431492, -0.0392266]"
29,23.375,1010.5,"[9.53206, -0.11768, -0.23536]"
30,23.875,1010.25,"[9.7282, -0.431492, -0.0392266]"
31,23.3125,1010.5,"[9.57129, -0.156906, -0.196133]"
32,23.875,1010.25,"[9.80664, -0.353039, -0.11768]"
33,23.3125,1010.5,"[9.45361, -0.11768, -0.23536]"
34,23.875,1010.25,"[9.7282, -0.509946, -0.0392266]"
35,23.3125,1010.5,"[9.53206, -0.0392266, -0.156906]"
36,23.875,1010.25,"[9.80664, -0.392266, -0.0392266]"
37,23.3125,1010.5,"[9.49284, -0.0784532, -0.196133]"
38,23.875,1010.25,"[9.76742, -0.470719, -0.11768]"
39,23.3125,1010.48,"[9.57129, -0.0784532, -0.11768]"
40,23.875,1010.24,"[9.76742, -0.470719, -0.0784532]"
41,23.3125,1010.48,"[9.49284, -0.11768, -0.156906]"
42,23.875,1010.24,"[9.7282, -0.509946, -0.196133]"
43,23.3125,1010.48,"[9.49284, -0.11768, -0.196133]"
44,23.8125,1010.24,"[9.7282, -0.353039, 0.0784532]"
45,23.3125,1010.48,"[9.45361, -0.0392266, -0.196133]"
46,23.875,1010.24,"[9.7282, -0.470719, -0.0392266]"
47,23.3125,1010.48,"[9.49284, -0.11768, -0.23536]"
48,23.8125,1010.23,"[9.80664, -0.470719, -0.0784532]"
49,23.3125,1010.48,"[9.53206, -0.11768, -0.313813]"
50,23.875,1010.24,"[9.80664, -0.509946, -0.0392266]"
51,23.3125,1010.48,"[9.57129, -0.0784532, -0.156906]"
52,23.8125,1010.23,"[9.76742, -0.392266, -0.156906]"
53,23.3125,1010.48,"[9.57129, -0.196133, -0.196133]"
54,23.875,1010.23,"[9.7282, -0.509946, -0.0784532]"
55,23.3125,1010.48,"[9.49284, -0.11768, -0.196133]"
56,23.8125,1010.24,"[9.68897, -0.470719, -0.11768]"
