time,acc_x,acc_y,acc_z
1702052559014.7,-0.157,-0.157,9.061
1702052559014.715,-0.196,-0.039,9.101
1702052559014.73,-0.157,-0.078,9.061
1702052559014.745,-0.275,-0.078,9.061
1702052559014.76,-0.275,-0.118,9.061
1702052559014.775,-0.196,-0.078,9.101
1702052559014.79,-0.196,-0.118,9.061
1702052559014.805,-0.157,-0.039,9.061
1702052559014.82,-0.235,-0.118,9.061
1702052559014.835,-0.235,-0.118,9.101
1702052559014.85,-0.157,-0.118,9.022
1702052559014.865,-0.235,-0.039,9.061
1702052559014.88,-0.196,-0.118,9.14
1702052559014.895,-0.196,-0.039,9.022
1702052559014.91,-0.235,-0.078,8.983
1702052559014.925,-0.157,-0.118,9.022
1702052559014.94,-0.353,-0.157,8.944
1702052559014.955,-0.157,-0.118,9.022
1702052559014.97,-0.275,-0.078,9.061
1702052559014.985,-0.235,-0.078,9.061
1702052559015.0,-0.157,-0.078,9.061
1702052559979.7,-0.157,-0.078,9.061
1702052559979.715,-0.118,-0.078,9.022
1702052559979.73,-0.235,-0.078,9.061
1702052559979.745,-0.118,-0.118,9.061
1702052559979.76,-0.275,-0.078,9.061
1702052559979.775,-0.196,-0.118,9.101
1702052559979.79,-0.235,0.0,9.022
1702052559979.805,-0.196,-0.157,9.022
1702052559979.82,-0.157,0.0,9.022
1702052559979.835,-0.196,-0.235,9.101
1702052559979.85,-0.157,0.0,9.022
1702052559979.865,-0.314,-0.196,9.061
1702052559979.88,-0.118,-0.039,9.022
1702052559979.895,-0.235,-0.039,9.061
1702052559979.91,-0.118,-0.157,9.022
1702052559979.925,-0.275,-0.039,9.061
1702052559979.94,-0.157,-0.157,8.983
1702052559979.955,-0.314,0.0,9.061
1702052559979.97,-0.196,-0.118,8.983
1702052559979.985,-0.235,-0.078,9.061
1702052559980.0,-0.235,-0.196,9.061
1702052564700.7,-0.157,-0.078,9.061
1702052564700.715,-0.235,-0.078,9.022
1702052564700.73,-0.157,-0.039,9.101
1702052564700.745,-0.196,-0.196,9.061
1702052564700.76,-0.196,-0.078,9.101
1702052564700.775,-0.196,-0.157,9.022
1702052564700.79,-0.275,-0.078,9.061
1702052564700.805,-0.196,-0.118,9.061
1702052564700.82,-0.235,-0.118,9.061
1702052564700.835,-0.157,-0.118,9.061
1702052564700.85,-0.235,-0.118,9.14
1702052564700.865,-0.196,-0.118,9.022
1702052564700.88,-0.157,-0.078,9.14
1702052564700.895,-0.235,-0.118,9.061
1702052564700.91,-0.196,0.0,8.983
1702052564700.925,-0.235,-0.078,9.061
1702052564700.94,-0.157,-0.078,9.061
1702052564700.955,-0.275,-0.039,9.061
1702052564700.97,-0.157,-0.118,9.022
1702052564700.985,-0.275,0.0,9.101
1702052564701.0,-0.235,-0.118,8.944
1702052565205.7,-0.235,-0.039,9.061
1702052565205.715,-0.196,-0.157,9.061
1702052565205.73,-0.235,-0.078,9.022
1702052565205.745,-0.157,-0.039,9.022
1702052565205.76,-0.196,-0.078,9.101
1702052565205.775,-0.235,-0.078,9.022
1702052565205.79,-0.118,-0.078,9.061
1702052565205.805,-0.196,-0.039,9.022
1702052565205.82,-0.118,-0.118,9.101
1702052565205.835,-0.196,-0.039,9.022
1702052565205.85,-0.235,-0.118,9.061
1702052565205.865,-0.157,-0.078,9.101
1702052565205.88,-0.196,-0.118,9.061
1702052565205.895,-0.157,-0.078,9.101
1702052565205.91,-0.157,-0.118,9.061
1702052565205.925,-0.196,-0.078,9.061
1702052565205.94,-0.157,-0.039,9.061
1702052565205.955,-0.275,-0.078,9.022
1702052565205.97,-0.235,-0.118,9.061
1702052565205.985,-0.235,-0.157,9.061
1702052565206.0,-0.196,-0.078,9.061
1702052565218.7,-0.196,-0.118,9.061
1702052565218.715,-0.275,-0.118,9.061
1702052565218.73,-0.235,-0.118,9.061
1702052565218.745,-0.196,-0.118,9.061
1702052565218.76,-0.196,-0.157,9.022
1702052565218.775,-0.157,-0.078,9.061
1702052565218.79,-0.157,-0.078,9.022
1702052565218.805,-0.118,-0.118,9.022
1702052565218.82,-0.157,-0.118,9.061
1702052565218.835,-0.235,-0.039,9.022
1702052565218.85,-0.196,-0.157,9.101
1702052565218.865,-0.196,-0.157,9.022
1702052565218.88,-0.196,-0.118,9.061
1702052565218.895,-0.275,-0.078,9.061
1702052565218.91,-0.196,-0.039,9.022
1702052565218.925,-0.157,0.0,9.101
1702052565218.94,-0.235,-0.078,9.022
1702052565218.955,-0.196,-0.118,9.101
1702052565218.97,-0.235,-0.157,9.022
1702052565218.985,-0.118,-0.118,9.061
1702052565219.0,-0.157,-0.078,9.101
1702052565705.7,-0.235,-0.078,9.101
1702052565705.715,-0.196,-0.118,9.101
1702052565705.73,-0.235,-0.078,8.983
1702052565705.745,-0.235,-0.078,9.022
1702052565705.76,-0.196,-0.078,9.061
1702052565705.775,-0.196,-0.078,9.061
1702052565705.79,-0.118,-0.078,9.022
1702052565705.805,-0.118,-0.078,9.061
1702052565705.82,-0.196,-0.039,9.101
1702052565705.835,-0.235,-0.118,9.101
1702052565705.85,-0.235,-0.118,9.022
1702052565705.865,-0.196,-0.078,9.022
1702052565705.88,-0.235,-0.078,8.983
1702052565705.895,-0.157,0.0,8.983
1702052565705.91,-0.157,-0.118,9.022
1702052565705.925,-0.314,-0.039,9.022
1702052565705.94,-0.196,-0.039,8.983
1702052565705.955,-0.196,-0.039,9.061
1702052565705.97,-0.235,-0.157,9.061
1702052565705.985,-0.118,-0.078,8.983
1702052565706.0,-0.196,-0.039,9.061
