time,acc_x,acc_y,acc_z
1702042196760.7,-0.667,-0.078,9.101
1702042196760.715,-0.628,0.0,9.14
1702042196760.73,-0.667,-0.118,9.101
1702042196760.745,-0.667,-0.039,9.14
1702042196760.76,-0.706,-0.039,9.101
1702042196760.775,-0.588,-0.078,9.101
1702042196760.79,-0.628,-0.078,9.14
1702042196760.805,-0.588,0.0,9.022
1702042196760.82,-0.706,0.0,9.14
1702042196760.835,-0.588,0.0,9.061
1702042196760.85,-0.667,-0.078,9.101
1702042196760.865,-0.628,-0.078,9.101
1702042196760.88,-0.628,-0.078,9.101
1702042196760.895,-0.667,-0.078,9.179
1702042196760.91,-0.667,-0.078,9.101
1702042196760.925,-0.628,-0.039,9.101
1702042196760.94,-0.667,0.0,9.101
1702042196760.955,-0.588,-0.078,9.022
1702042196760.97,-0.745,-0.078,9.061
1702042196760.985,-0.667,0.0,8.983
1702042196761.0,-0.667,-0.039,9.101
1702042197306.7,-0.628,0.0,9.101
1702042197306.715,-0.628,-0.039,9.14
1702042197306.73,-0.628,-0.039,9.101
1702042197306.745,-0.667,-0.039,9.101
1702042197306.76,-0.745,0.0,9.101
1702042197306.775,-0.628,-0.039,9.061
1702042197306.79,-0.588,0.0,9.061
1702042197306.805,-0.667,-0.039,9.101
1702042197306.82,-0.667,0.0,9.101
1702042197306.835,-0.628,-0.039,9.101
1702042197306.85,-0.628,-0.039,9.101
1702042197306.865,-0.667,-0.039,9.061
1702042197306.88,-0.628,-0.118,9.14
1702042197306.895,-0.667,-0.039,9.179
1702042197306.91,-0.628,-0.118,9.14
1702042197306.925,-0.667,0.0,9.101
1702042197306.94,-0.667,-0.039,9.061
1702042197306.955,-0.628,0.0,9.061
1702042197306.97,-0.628,-0.039,9.022
1702042197306.985,-0.549,0.039,9.022
1702042197307.0,-0.667,-0.039,9.101
1702042197857.7,-0.667,-0.039,9.14
1702042197857.715,-0.628,-0.039,9.101
1702042197857.73,-0.628,-0.078,9.101
1702042197857.745,-0.628,-0.039,9.101
1702042197857.76,-0.588,0.039,9.14
1702042197857.775,-0.628,-0.078,9.101
1702042197857.79,-0.667,-0.039,9.101
1702042197857.805,-0.628,-0.078,9.061
1702042197857.82,-0.628,-0.039,9.061
1702042197857.835,-0.706,0.0,9.061
1702042197857.85,-0.628,-0.039,9.14
1702042197857.865,-0.628,-0.078,9.101
1702042197857.88,-0.588,-0.039,9.14
1702042197857.895,-0.667,-0.078,9.061
1702042197857.91,-0.628,0.0,9.14
1702042197857.925,-0.628,0.0,9.101
1702042197857.94,-0.706,-0.039,9.101
1702042197857.955,-0.706,-0.039,9.101
1702042197857.97,-0.667,-0.039,9.101
1702042197857.985,-0.628,0.0,9.101
1702042197858.0,-0.628,0.0,9.101
1702042198411.7,-0.667,0.0,9.061
1702042198411.715,-0.588,0.039,9.022
1702042198411.73,-0.667,0.0,8.983
1702042198411.745,-0.706,-0.039,9.101
1702042198411.76,-0.706,-0.039,9.101
1702042198411.775,-0.706,-0.039,9.022
1702042198411.79,-0.667,-0.039,9.022
1702042198411.805,-0.628,-0.039,9.022
1702042198411.82,-0.745,-0.039,9.061
1702042198411.835,-0.706,0.0,9.061
1702042198411.85,-0.667,-0.039,9.101
1702042198411.865,-0.667,-0.039,9.101
1702042198411.88,-0.588,-0.039,9.218
1702042198411.895,-0.706,-0.039,9.101
1702042198411.91,-0.588,0.0,8.983
1702042198411.925,-0.588,0.0,9.14
1702042198411.94,-0.745,0.0,9.101
1702042198411.955,-0.588,0.0,9.022
1702042198411.97,-0.706,-0.078,9.14
1702042198411.985,-0.51,-0.039,9.061
1702042198412.0,-0.667,-0.078,9.061
1702042200504.7,-0.628,-0.039,9.061
1702042200504.715,-0.667,-0.039,9.061
1702042200504.73,-0.628,-0.039,9.022
1702042200504.745,-0.549,-0.039,9.061
1702042200504.76,-0.588,-0.078,9.14
1702042200504.775,-0.667,0.0,9.101
1702042200504.79,-0.628,-0.118,9.101
1702042200504.805,-0.628,-0.039,9.101
1702042200504.82,-0.628,-0.078,9.101
1702042200504.835,-0.628,-0.039,9.101
1702042200504.85,-0.549,-0.118,9.14
1702042200504.865,-0.628,-0.039,9.14
1702042200504.88,-0.588,-0.039,9.101
1702042200504.895,-0.667,-0.078,9.101
1702042200504.91,-0.667,-0.039,9.14
1702042200504.925,-0.628,-0.078,9.101
1702042200504.94,-0.628,0.0,9.101
1702042200504.955,-0.628,-0.039,9.061
1702042200504.97,-0.628,0.0,9.061
1702042200504.985,-0.628,-0.039,9.14
1702042200505.0,-0.628,-0.078,9.14
1702042201054.7,-0.824,-0.392,9.14
1702042201054.715,-0.667,-0.275,8.983
1702042201054.73,-0.549,-0.314,9.061
1702042201054.745,-0.706,-0.275,9.101
1702042201054.76,-0.588,-0.275,9.061
1702042201054.775,-0.902,-0.392,9.218
1702042201054.79,-0.824,0.118,9.101
1702042201054.805,-0.745,-0.078,9.14
1702042201054.82,-0.51,-0.039,9.218
1702042201054.835,-0.549,-0.157,8.904
1702042201054.85,-0.745,0.196,9.101
1702042201054.865,-0.667,-0.235,9.022
1702042201054.88,-0.471,-0.275,9.257
1702042201054.895,-0.628,0.118,9.061
1702042201054.91,-0.745,0.078,9.022
1702042201054.925,-0.275,0.078,8.983
1702042201054.94,-0.392,-0.314,8.983
1702042201054.955,-0.588,0.549,9.218
1702042201054.97,-1.059,0.353,9.061
1702042201054.985,-0.314,0.471,9.297
1702042201055.0,-0.471,-0.353,9.061
1702042201065.7,-0.667,-0.039,9.101
1702042201065.715,-0.628,-0.039,9.101
1702042201065.73,-0.667,-0.039,9.101
1702042201065.745,-0.667,0.0,9.101
1702042201065.76,-0.628,-0.039,9.14
1702042201065.775,-0.667,0.0,9.101
1702042201065.79,-0.667,-0.039,9.14
1702042201065.805,-0.706,-0.078,9.101
1702042201065.82,-0.588,0.0,9.061
1702042201065.835,-0.706,-0.078,9.101
1702042201065.85,-0.628,-0.039,9.101
1702042201065.865,-0.706,-0.078,9.101
1702042201065.88,-0.549,-0.039,9.061
1702042201065.895,-0.628,-0.078,9.101
1702042201065.91,-0.628,0.0,9.101
1702042201065.925,-0.667,0.0,9.061
1702042201065.94,-0.628,-0.078,9.14
1702042201065.955,-0.667,0.0,9.022
1702042201065.97,-0.745,0.0,8.983
1702042201065.985,-0.628,0.0,9.179
1702042201066.0,-0.628,0.039,9.14
1702042201608.7,-0.667,-0.078,9.14
